Type,Env,GenericSubName,SubscriptionId,Location,RGFunction,GenericName,Name,ResourceGroupName,Params
rg,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,csr1,csr1_rg,el-cloud-shell-storage-usgovvirginia,el-cloud-shell-storage-usgovvirginia,
rg,prod,mima_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovtexas,csr2,csr2_rg,el-cloud-shell-storage-usgovtexas,el-cloud-shell-storage-usgovtexas,
rg,prod,mimb_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovarizona,csr3,csr3_rg,el-cloud-shell-storage-usgovarizona,el-cloud-shell-storage-usgovarizona,
la,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_01_la,el-prod-va-mgmt-01-la,el-prod-va-mgmt-rg,
aa,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_aa,el-prod-va-mgmt-aa,el-prod-va-mgmt-rg,
vm,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_adsdc_vm,elpadsdc01,el-prod-va-mgmt-rg,"{""ImageVersionId"":""/subscriptions/ed347077-d367-4401-af11-a87b73bbae0e/resourceGroups/el-prod-va-mgmt-rg/providers/Microsoft.Compute/galleries/el_prod_va_mgmt_sig/images/windows-server-2019-base/versions/1.0.1"",""VnetName"":""el-prod-va-mgmt-vnet"",""SubnetName"":""el-prod-va-mgmt-vnet-02-sn"",""StaticIP"":""10.103.13.100""}"
vm,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_azhrw_vm,elpazhrw01,el-prod-va-mgmt-rg,"{""ImageVersionId"":""/subscriptions/ed347077-d367-4401-af11-a87b73bbae0e/resourceGroups/el-prod-va-mgmt-rg/providers/Microsoft.Compute/galleries/el_prod_va_mgmt_sig/images/windows-server-2019-base/versions/1.0.1"",""VnetName"":""el-prod-va-mgmt-vnet"",""SubnetName"":""el-prod-va-mgmt-vnet-02-sn"",""StaticIP"":""10.103.13.101""}"
btn,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_bastion,el-prod-va-mgmt-btn,el-prod-va-mgmt-rg,"{""VnetName"":""el-prod-va-mgmt-vnet"",""PIPName"":""el-prod-va-mgmt-btn-pip""}"
sa,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_diag_sa,elpvamgmtdiag,el-prod-va-mgmt-rg,
peer,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_mima_peer,mgmt-mima-peer,el-prod-va-mgmt-rg,"{""VnetName"":""el-prod-va-mgmt-vnet"",""RVNetName"":""el-prod-tx-mima-vnet"",""RVNetRG"":""el-prod-tx-mima-rg""}"
peer,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_mimb_peer,mgmt-mimb-peer,el-prod-va-mgmt-rg,"{""VnetName"":""el-prod-va-mgmt-vnet"",""RVNetName"":""el-prod-az-mimb-vnet"",""RVNetRG"":""el-prod-az-mimb-rg""}"
rg,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_rg,el-prod-va-mgmt-rg,el-prod-va-mgmt-rg,
sig,prod,sig_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_sig,el_prod_va_mgmt_sig,el-prod-va-mgmt-rg,"{""ManagedImageName"":""windows-server-2019-base"",""ManagedImageRG"":""el-prod-va-mgmt-rg""}"
vnet,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_vnet,el-prod-va-mgmt-vnet,el-prod-va-mgmt-rg,"{""AddressSpace"":""10.103.0.0/16"",""DNSServer"":""10.103.13.100""}"
sn,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_vnet_01_subnet,el-prod-va-mgmt-vnet-01-sn,el-prod-va-mgmt-rg,"{""AddressSpace"":""10.103.11.0/24"",""Vnet"":""el-prod-va-mgmt-vnet""}"
sn,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_vnet_01_subnet,el-prod-va-mgmt-vnet-02-sn,el-prod-va-mgmt-rg,"{""AddressSpace"":""10.103.13.0/24"",""Vnet"":""el-prod-va-mgmt-vnet""}"
sn,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_vnet_03_subnet,el-prod-va-mgmt-vnet-03-sn,el-prod-va-mgmt-rg,"{""AddressSpace"":""10.103.12.0/24"",""Vnet"":""el-prod-va-mgmt-vnet""}"
nsg,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_vnet_nsg,el-prod-va-mgmt-vnet-nsg,el-prod-va-mgmt-rg,
sn,prod,mgmt_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovvirginia,mgmt,mgmt_vnet_subnet_bastion,AzureBastionSubnet,el-prod-va-mgmt-rg,"{""AddressSpace"":""10.103.14.0/24"",""Vnet"":""el-prod-va-mgmt-vnet""}"
btn,prod,mima_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovtexas,mima,mima_bastion,el-prod-va-mima-btn,el-prod-tx-mima-rg,"{""VnetName"":""el-prod-tx-mima-vnet"",""PIPName"":""el-prod-tx-mima-btn-pip""}"
sa,prod,mima_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovtexas,mima,mima_diag_sa,elptxmimadiag,el-prod-tx-mima-rg,
peer,prod,mima_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovtexas,mima,mima_mgmt_peer,mima-mgmt-peer,el-prod-tx-mima-rg,"{""VnetName"":""el-prod-tx-mima-vnet"",""RVNetName"":""el-prod-va-mgmt-vnet"",""RVNetRG"":""el-prod-va-mgmt-rg""}"
peer,prod,mima_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovtexas,mima,mima_mimb_peer,mima-mimb-peer,el-prod-tx-mima-rg,"{""VnetName"":""el-prod-tx-mima-vnet"",""RVNetName"":""el-prod-az-mimb-vnet"",""RVNetRG"":""el-prod-az-mimb-rg""}"
vm,prod,mima_sub,ed347077-d367-4401-af11-a87b73bbae0e,usgovtexas,mima,mima_mimsp_01_vm,elpmimsp01,el-prod-tx-mima-rg,"{""ImageVersionId"":""/subscriptions/ed347077-d367-4401-af11-a87b73bbae0e/resourceGroups/el-prod-va-mgmt-rg/providers/Microsoft.Compute/galleries/el_prod_va_mgmt_sig/images/windows-server-2019-base/versions/1.0.1"",""VnetName"":""el-prod-tx-mima-vnet"",""SubnetName"":""el-prod-tx-mima-vnet-02-sn"",""StaticIP"":""10.103.13.11""}"
